"","Day","Trajectory","Flow","Treatment","Tank..","Coral","F0","Fm","Yield"
"308",9,"Protective","Low","Protective Low","1","F..2",0.1695,0.46872,0.6382
"309",9,"Protective","Low","Protective Low","1","F..3",0.14764,0.35628,0.586
"310",9,"Protective","Low","Protective Low","2","F..1",0.13854,0.35226,0.605
"311",9,"Protective","Low","Protective Low","2","F..2",0.15912,0.3752,0.5734
"312",9,"Protective","Low","Protective Low","2","F..3",0.17736,0.43666,0.594
"313",9,"Single","High","Single High","1","F..1",0.14286,0.31684,0.549
"314",9,"Single","High","Single High","1","F..2",0.1402,0.31688,0.5532
"315",9,"Single","High","Single High","1","F..3",0.15442,0.38078,0.5934
"316",9,"Single","High","Single High","2","F..1",0.1495,0.34324,0.5624
"317",9,"Single","High","Single High","2","F..2",0.15364,0.35538,0.5642
"318",9,"Single","High","Single High","2","F..3",0.15294,0.33696,0.5444
"319",9,"Single","Low","Single Low","1","F..1",0.18178,0.4043,0.5486
"320",9,"Single","Low","Single Low","1","F..2",0.14558,0.34088,0.5716
"321",9,"Single","Low","Single Low","1","F..3",0.1865,0.39902,0.5284
"322",9,"Single","Low","Single Low","2","F..1",0.14508,0.3645,0.601
"323",9,"Single","Low","Single Low","2","F..2",0.15286,0.3655,0.5808
"324",9,"Single","Low","Single Low","2","F..3",0.14354,0.37352,0.6144
"325",10,"Control","High","Control High","1","F..1",0.15136,0.41678,0.637
"326",10,"Control","High","Control High","1","F..2",0.15176,0.38136,0.6014
"327",10,"Control","High","Control High","1","F..3",0.16068,0.43648,0.6322
"328",10,"Control","High","Control High","2","F..1",0.14736,0.34658,0.5728
"329",10,"Control","High","Control High","2","F..2",0.15618,0.42264,0.6294
"330",10,"Control","High","Control High","2","F..3",0.1466,0.38998,0.6236
"331",10,"Control","Low","Control Low","1","F..1",0.15136,0.34522,0.5614
"332",10,"Control","Low","Control Low","1","F..2",0.16264,0.45,0.6386
"333",10,"Control","Low","Control Low","1","F..3",0.14186,0.39508,0.6404
"334",10,"Control","Low","Control Low","2","F..1",0.15542,0.35942,0.5676
"335",10,"Control","Low","Control Low","2","F..2",0.1606,0.39146,0.5896
"336",10,"Control","Low","Control Low","2","F..3",0.15442,0.38234,0.5962
"337",10,"Protective","High","Protective High","1","F..1",0.15146,0.40676,0.6262
"338",10,"Protective","High","Protective High","1","F..2",0.14312,0.36628,0.6082
"339",10,"Protective","High","Protective High","1","F..3",0.1502,0.36462,0.5866
"340",10,"Protective","High","Protective High","2","F..1",0.18668,0.38812,0.5168
"341",10,"Protective","High","Protective High","2","F..2",0.14158,0.31422,0.5494
"342",10,"Protective","High","Protective High","2","F..3",0.13254,0.34106,0.61
"343",10,"Protective","Low","Protective Low","1","F..1",0.16372,0.39696,0.5862
"344",10,"Protective","Low","Protective Low","1","F..2",0.16538,0.45156,0.6326
"345",10,"Protective","Low","Protective Low","1","F..3",0.13596,0.33286,0.5912
"346",10,"Protective","Low","Protective Low","2","F..1",0.14488,0.38598,0.624
"347",10,"Protective","Low","Protective Low","2","F..2",0.15864,0.42776,0.628
"348",10,"Protective","Low","Protective Low","2","F..3",0.16538,0.40412,0.5908
"349",10,"Single","High","Single High","1","F..1",0.155,0.3545,0.562
"350",10,"Single","High","Single High","1","F..2",0.1453,0.3442,0.5748
"351",10,"Single","High","Single High","1","F..3",0.16372,0.41804,0.608
"352",10,"Single","High","Single High","2","F..1",0.15962,0.38224,0.5812
"353",10,"Single","High","Single High","2","F..2",0.15274,0.37726,0.5928
"354",10,"Single","High","Single High","2","F..3",0.15706,0.40462,0.6094
"355",10,"Single","Low","Single Low","1","F..1",0.16842,0.4184,0.5954
"356",10,"Single","Low","Single Low","1","F..2",0.1544,0.3858,0.5988
"357",10,"Single","Low","Single Low","1","F..3",0.18716,0.39284,0.518
"358",10,"Single","Low","Single Low","2","F..1",0.1547,0.3699,0.6028
"359",10,"Single","Low","Single Low","2","F..2",0.1495,0.37938,0.6044
"360",10,"Single","Low","Single Low","2","F..3",0.21314,0.48714,0.595
"361",11,"Control","High","Control High","1","F..1",0.14048,0.37158,0.6214
"362",11,"Control","High","Control High","1","F..2",0.15746,0.36764,0.571
"363",11,"Control","High","Control High","1","F..3",0.1394,0.3805,0.6326
"364",11,"Control","High","Control High","2","F..1",0.1552,0.35234,0.557
"365",11,"Control","High","Control High","2","F..2",0.15872,0.40962,0.611
"366",11,"Control","High","Control High","2","F..3",0.1499,0.38904,0.6122
"367",11,"Control","Low","Control Low","1","F..1",0.14206,0.33962,0.5798
