"","Timepoint","Species","Trajectory","Tank","Flow","Coral","HM","Square","Count","Dilution"
"406","TP1","AA","Single","T1","Low","#1","5",1,12,10
"407","TP1","AA","Single","T1","Low","#1","5",2,10,10
"408","TP1","AA","Single","T1","Low","#1","5",3,18,10
"409","TP1","AA","Single","T1","Low","#1","5",4,14,10
"410","TP1","AA","Single","T1","Low","#1","5",5,17,10
"411","TP1","AA","Single","T1","Low","#1","6",1,12,10
"412","TP1","AA","Single","T1","Low","#1","6",2,16,10
"413","TP1","AA","Single","T1","Low","#1","6",3,12,10
"414","TP1","AA","Single","T1","Low","#1","6",4,21,10
"415","TP1","AA","Single","T1","Low","#1","6",5,9,10
"416","TP1","AA","Single","T1","Low","#3","1",1,19,10
"417","TP1","AA","Single","T1","Low","#3","1",2,21,10
"418","TP1","AA","Single","T1","Low","#3","1",3,20,10
"419","TP1","AA","Single","T1","Low","#3","1",4,21,10
"420","TP1","AA","Single","T1","Low","#3","1",5,17,10
"421","TP1","AA","Single","T1","Low","#3","2",1,30,10
"422","TP1","AA","Single","T1","Low","#3","2",2,17,10
"423","TP1","AA","Single","T1","Low","#3","2",3,25,10
"424","TP1","AA","Single","T1","Low","#3","2",4,19,10
"425","TP1","AA","Single","T1","Low","#3","2",5,20,10
"426","TP1","AA","Single","T1","Low","#3","3",1,24,10
"427","TP1","AA","Single","T1","Low","#3","3",2,22,10
"428","TP1","AA","Single","T1","Low","#3","3",3,30,10
"429","TP1","AA","Single","T1","Low","#3","3",4,18,10
"430","TP1","AA","Single","T1","Low","#3","3",5,20,10
"431","TP1","AA","Single","T1","Low","#3","4",1,23,10
"432","TP1","AA","Single","T1","Low","#3","4",2,25,10
"433","TP1","AA","Single","T1","Low","#3","4",3,17,10
"434","TP1","AA","Single","T1","Low","#3","4",4,33,10
"435","TP1","AA","Single","T1","Low","#3","4",5,26,10
"436","TP1","AA","Single","T1","Low","#3","5",1,26,10
"437","TP1","AA","Single","T1","Low","#3","5",2,21,10
"438","TP1","AA","Single","T1","Low","#3","5",3,24,10
"439","TP1","AA","Single","T1","Low","#3","5",4,15,10
"440","TP1","AA","Single","T1","Low","#3","5",5,21,10
"441","TP1","AA","Single","T1","Low","#3","6",1,19,10
"442","TP1","AA","Single","T1","Low","#3","6",2,18,10
"443","TP1","AA","Single","T1","Low","#3","6",3,26,10
"444","TP1","AA","Single","T1","Low","#3","6",4,20,10
"445","TP1","AA","Single","T1","Low","#3","6",5,18,10
"446","TP1","AA","Single","T2","High","#2","1",1,21,10
"447","TP1","AA","Single","T2","High","#2","1",2,19,10
"448","TP1","AA","Single","T2","High","#2","1",3,24,10
"449","TP1","AA","Single","T2","High","#2","1",4,20,10
"450","TP1","AA","Single","T2","High","#2","1",5,24,10
"451","TP1","AA","Single","T2","High","#2","2",1,17,10
"452","TP1","AA","Single","T2","High","#2","2",2,25,10
"453","TP1","AA","Single","T2","High","#2","2",3,13,10
"454","TP1","AA","Single","T2","High","#2","2",4,20,10
"455","TP1","AA","Single","T2","High","#2","2",5,21,10
"456","TP1","AA","Single","T2","High","#2","3",1,15,10
"457","TP1","AA","Single","T2","High","#2","3",2,16,10
"458","TP1","AA","Single","T2","High","#2","3",3,17,10
"459","TP1","AA","Single","T2","High","#2","3",4,22,10
"460","TP1","AA","Single","T2","High","#2","3",5,25,10
"461","TP1","AA","Single","T2","High","#2","4",1,21,10
